polit,name,gender,birthyear,deathyear,liberal,ndp,cp,green,bq,prime_minister,minister,party_leader,senate_member,house_member,mayor
http://www.wikidata.org/entity/Q15844612,Henry William McKenney,male,1848,1921,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1585862,Harold Connolly,male,1901,1980,1,0,0,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q1587946,Harvey Veniot,male,1915,2009,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1593109,Hector-Louis Langevin,male,1826,1906,0,0,1,0,0,0,1,0,0,1,1
http://www.wikidata.org/entity/Q15946286,Florence Elsie Inman,female,1891,1986,1,0,0,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q15975507,William Sloan,male,1867,1928,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15980338,John Stanfield,male,1868,1934,0,0,1,0,0,0,0,0,1,1,0
http://www.wikidata.org/entity/Q15980340,William Ashbury Buchanan,male,1876,1954,1,0,0,0,0,0,0,0,1,1,0
http://www.wikidata.org/entity/Q15980381,Gordon Benjamin Isnor,male,1885,1973,1,0,0,0,0,0,0,0,1,1,0
http://www.wikidata.org/entity/Q15980406,John Tolmie,male,1845,1916,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15993147,James Kelleher,male,1930,2013,0,0,1,0,0,0,0,0,1,1,0
http://www.wikidata.org/entity/Q15993584,John Melville Turner,male,1922,2013,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15995667,James Fraser Bryant,male,1877,1945,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15995767,Norman Alexander McLarty,male,1889,1945,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15995879,James Albert Faulkner,male,1877,1944,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15996121,William Abram Kribs,male,1859,1943,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15996191,Harold Edward Welsh,male,1896,1943,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15996279,Henry Herbert Horsey,male,1871,1942,1,0,0,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q15996305,Robert McKenzie,male,1875,1942,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15996926,Guillaume-André Fauteux,male,1874,1940,0,0,1,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q15997106,William Charles Sutherland,male,1865,1940,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15997328,William Esling,male,1868,1946,0,0,1,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15997370,William Chisholm Macdonald,male,1890,1946,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15997404,Harold William Hounsfield Riley,male,1877,1946,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15997604,John Carrère,male,1911,1948,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15997616,James J. Donnelly,male,1866,1948,0,0,1,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q15997797,Arthur Jolley,male,1911,1993,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15997811,Edmund MacGillivray,male,1893,1949,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15997817,Moses Elijah McGarry,male,1878,1949,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15997826,James Murdock,male,1871,1949,1,0,0,0,0,0,0,0,1,1,0
http://www.wikidata.org/entity/Q15998225,Gordon Fogo,male,1896,1952,1,0,0,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q15998237,John Edward Gryde,male,1882,1952,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15998411,Lewis Herbert Martell,male,1885,1962,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15998463,William White,male,1856,1953,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15998791,Elmer Brandon,male,1906,1956,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15998796,Harry Butcher,male,1873,1956,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15998800,Harry Gladstone Clarke,male,1881,1956,0,0,1,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q15998839,James R. Lowery,male,1884,1956,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q15998954,Joseph James Duffus,male,1876,1957,1,0,0,0,0,0,0,0,1,1,0
http://www.wikidata.org/entity/Q15999047,Fletcher Stewart Thomas,male,1897,1957,0,0,1,0,0,0,0,0,0,0,0
