polit,politLabel,positionLabel,genderLabel,birthyear,deathyear,partyLabel
http://www.wikidata.org/entity/Q2957963,Charles-Arthur Gauthier,member of the House of Commons of Canada,male,1913,1997,Social Credit Party of Canada
http://www.wikidata.org/entity/Q2957965,Charles Auguste Maximilien Globensky,mayor,male,1830,1906,independent politician
http://www.wikidata.org/entity/Q2957977,Charles-Avila Wilson,member of the House of Commons of Canada,male,1869,1936,Liberal Party of Canada
http://www.wikidata.org/entity/Q2957984,Charles-Christophe Malhiot,mayor,male,1808,1874,Liberal Party of Canada
http://www.wikidata.org/entity/Q2957984,Charles-Christophe Malhiot,member of the Senate of Canada,male,1808,1874,Liberal Party of Canada
http://www.wikidata.org/entity/Q2958011,Charles-Eugène Dionne,member of the House of Commons of Canada,male,1908,1984,Social Credit Party of Canada
http://www.wikidata.org/entity/Q2958015,Charles-Eugène Marin,mayor,male,1925,2017,Progressive Conservative Party of Canada
http://www.wikidata.org/entity/Q2958015,Charles-Eugène Marin,member of the House of Commons of Canada,male,1925,2017,Progressive Conservative Party of Canada
http://www.wikidata.org/entity/Q2958016,Charles-Eugène Pouliot,Member of the National Assembly of Quebec,male,1856,1897,Liberal Party of Canada
http://www.wikidata.org/entity/Q2958016,Charles-Eugène Pouliot,Member of the National Assembly of Quebec,male,1856,1897,Parti libéral du Québec
http://www.wikidata.org/entity/Q2958016,Charles-Eugène Pouliot,member of the House of Commons of Canada,male,1856,1897,Liberal Party of Canada
http://www.wikidata.org/entity/Q2958016,Charles-Eugène Pouliot,member of the House of Commons of Canada,male,1856,1897,Parti libéral du Québec
http://www.wikidata.org/entity/Q2958059,Charles-François Roy,Member of the National Assembly of Quebec,male,1835,1882,Conservative Party of Canada
http://www.wikidata.org/entity/Q2958059,Charles-François Roy,member of the House of Commons of Canada,male,1835,1882,Conservative Party of Canada
http://www.wikidata.org/entity/Q2958076,Charles Bertrand,member of the House of Commons of Canada,male,1824,1896,Conservative Party of Canada
http://www.wikidata.org/entity/Q2958133,Charles-Henri Tremblay,Member of the National Assembly of Quebec,male,1919,1982,Parti Québécois
http://www.wikidata.org/entity/Q2958145,Charles-Ignace Gill,Member of the National Assembly of Quebec,male,1844,1901,Conservative Party of Quebec
http://www.wikidata.org/entity/Q2958145,Charles-Ignace Gill,member of the House of Commons of Canada,male,1844,1901,Conservative Party of Quebec
http://www.wikidata.org/entity/Q2958163,Charles-Joseph Coursol,Mayor of Montreal,male,1819,1888,Tory
http://www.wikidata.org/entity/Q2958163,Charles-Joseph Coursol,member of the House of Commons of Canada,male,1819,1888,Tory
http://www.wikidata.org/entity/Q2958330,Charles-Édouard Campeau,member of the House of Commons of Canada,male,1916,1992,Progressive Conservative Party of Canada
http://www.wikidata.org/entity/Q2958332,Charles-Édouard Ferland,member of the House of Commons of Canada,male,1892,1974,Liberal Party of Canada
http://www.wikidata.org/entity/Q2958332,Charles-Édouard Ferland,member of the Senate of Canada,male,1892,1974,Liberal Party of Canada
