name,party,page_views
William Manley German,Liberal,203
Willoughby Staples Brewster,CPC,90
Wellington Hay,Liberal,237
Robert L. Joynt,CPC,82
Charles Wesley Colter,Liberal,65
Adolphe-François Savaria,CPC,212
Allan Moreash,Liberal,97
John A. Dawson,Liberal,67
Jason M. Mack,Liberal,197
Frederick de St. Croix Brecken,CPC,74
John Godkin Giles,CPC,52
Gordon Edward Corbould,CPC,122
John Carey Douglas,CPC,129
Joseph Patrick Downey,CPC,169
James O'Brien,Liberal,108
William Wright,CPC,149
James Massie,Liberal,276
Howard Corning,CPC,112
John S. McNeill,Liberal,92
William Kingston Flesher,CPC,296
Simon Joyce,Liberal,114
Joseph-Alcide Martin,CPC,38
John O'Neill,Liberal,96
Harry H. Wickwire,Liberal,172
Joseph-Rosaire Thibaudeau,Liberal,185
Henry d'Entremont,Liberal,86
John Andrew Mara,CPC,296
William H. Hutchison,Liberal,110
Joseph Robbins Kinney,Liberal,239
François Martineau,CPC,118
Joseph Henry Marshall,CPC,58
Nérée Tétreau,CPC,57
John Waters,Liberal,106
John Henry Wilson,Liberal,NA
John Burpee Mills,CPC,110
"John Sharples, Jr.",CPC,77
John Stuart,CPC,121
Hector Francis McDougall,CPC,210
"Henry Nathan, Jr.",Liberal,502
Samuel Barker,CPC,134
Thomas George Carscallen,CPC,112
John Gillis Morrison,Liberal,90
John O'Brien,Liberal,94
Thomas Edward Manley Chew,Liberal,168
William Beatty,Liberal,260
Simpson McCall,Liberal,77
William Anderson,CPC,111
Hiram Black,Liberal,132
James Brown,CPC,219
John Clark,Liberal,173
Albert M. Hemeon,Liberal,68
James S. Lynch,Liberal,86
Hugh McKenzie,Liberal,34
John Fergusson,Liberal,287
George Perry,Liberal,43
Nathaniel Currie,CPC,282
Léon-Benoît-Alfred Charlebois,CPC,211
Newton LeGayet Mackay,Liberal,175
Jean-Baptiste Jodoin,CPC,71
Thomas Scott,CPC,128
Léon-Charles Clément,CPC,153
Patrick Power,Liberal,320
James Evans,Liberal,102
John Holmes,Liberal,170
Charles Perry,CPC,153
Jared C. Troop,Liberal,61
Mcneil Clarke,CPC,108
William McNairn Shaw,CPC,82
Nicholas Awrey,Liberal,83
Frank Madill,CPC,155
James Torrance,CPC,119
John Hilliard Carnegie,CPC,82
James Robinson Fallis,CPC,64
Horace Stanley Colliver,CPC,38
James Walker,Liberal,113
Joseph Marceau,Liberal,56
William Henry Ireland,CPC,63
Albert Zenophile Aubin,CPC,119
M. A. MacPherson,CPC,517
Henry George Carroll,Liberal,328
Amir Khadir,BQ,10502
Herb Breau,Liberal,389
Richard B. Beckett,CPC,134
Jack Hare,CPC,148
Gordon Robert Carton,CPC,222
William Frank,CPC,314
Siegfried Enns,CPC,245
Philip D. Lewis,Liberal,253
John Lang Nichol,Liberal,491
David Hahn,Liberal,185
Eric Ross Hall,Liberal,238
Nigel Pengelly,CPC,144
Lorne Howard Maeck,CPC,203
Gerald Cobbe,Liberal,55
John William Thomson,CPC,201
Harry Oliver Bradley,CPC,111
Harry Olaussen,NDP,108
Joel Matheson,CPC,800
Jan Dukszta,NDP,474
Ron Knight,Liberal,210
Ione Christensen,Liberal,1432
Michel Tremblay,Liberal,173
Thomas Charles Donnelly,CPC,46
Jim Horsman,CPC,393
Jake Hoeppner,CPC,1145
Ron Irwin,Liberal,952
Neil Young,NDP,1063
Michael Cassidy,NDP,1841
Philip Mayfield,CPC,304
Jack Pierce,CPC,168
Paul Yewchuk,CPC,182
Jerome Hammersmith,NDP,237
Terry Stratton,CPC,217
Daphne Jennings,CPC,192
Lyle Kristiansen,NDP,135
John Paul Meagher,CPC,78
Roger Simmons,Liberal,610
Paul Frederick Taylor,Liberal,460
Paul Dick,CPC,1485
Broyce Jacobs,CPC,222
John McDermid,CPC,644
Mildred Dover,CPC,194
Joan Heather Duncan,CPC,684
John Leslie Evans,Liberal,264
Taras Kozyra,Liberal,324
Ray Skelly,NDP,390
Mike Dietsch,Liberal,232
Len Harapiak,NDP,221
John Gary Lane,CPC,401
Jim McLachlan,Liberal,228
T. Patrick Reid,Liberal,281
Jeannot Castonguay,Liberal,121
James William Arthur Garner,CPC,154
Harold Lane,CPC,85
William James Gilbert Allen,NDP,114
Peter Fassbender,Liberal,1796
Timothy Burke Embury,CPC,78
John MacDougall,CPC,216
Lorne Scott,NDP,627
Harry Van Mulligen,NDP,260
Pat Lorje,NDP,417
Roger Kimmerly,NDP,88
John Percy Page,CPC,1451
Stanley Waters,CPC,1035
Lindy Kasperski,NDP,219
Brian Lee,CPC,323
Walter Szwender,CPC,163
Dan Ashton,Liberal,1036
Jack Ady,CPC,293
Laura Albanese,Liberal,2468
Lynn Myers,Liberal,736
Dave Cooke,NDP,1213
Karen Leibovici,Liberal,1500
Harry Pelissero,Liberal,266
Ross Reid,CPC,158
Heward Grafftey,CPC,1518
Harold Theriault,Liberal,232
John Snobelen,CPC,2776
Tobias Enverga,CPC,1363
Hugh MacDonald,Liberal,370
Sine Chadi,Liberal,832
Joan Crockatt,CPC,1791
Cal Dallas,CPC,342
Kerry Diotte,CPC,12603
Steve Owens,NDP,1072
"Frank Oberle, Jr.",CPC,607
Thomas Thomas,NDP,192
Carol Hughes,NDP,6110
George Rogers,CPC,1075
Susan Truppe,CPC,1320
Pamela Goldsmith-Jones,Liberal,3095
Richard Martel,CPC,3513
Gila Martow,CPC,8869
Hunter Tootoo,Liberal,16258
Bernard Trottier,CPC,3524
Rob Nijjar,Liberal,821
Nathaniel Stephen Appleby,CPC,92
John Blythe,CPC,53
