Election Type,Election Date,Province / Territory,Constituency,First Name,Last Name,Political Party,Election Result
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Griesbach,Alex,Boykowich,Communist Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Griesbach,Blake,Desjarlais,New Democratic Party,Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Griesbach,Kerry,Diotte,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Griesbach,Mary,Joyce,Marxist-Leninist Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Griesbach,Heather,Lau,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Griesbach,Thomas,Matty,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Griesbach,Habiba,Mohamud,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Griesbach,Morgan,Watson,Libertarian Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Manning,Ziad,Aboultaif,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Manning,Martin,Halvorson,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Manning,Donna Lynn,Smith,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Manning,Charmaine,St. Germain,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Manning,André,Vachon,Marxist-Leninist Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Mill Woods,Benjamin,Henderson,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Mill Woods,Nigel,Logan,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Mill Woods,Paul Edward,McCormack,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Mill Woods,Naomi,Rankin,Communist Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Mill Woods,Tim,Uppal,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Riverbend,Tariq,Chaudary,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Riverbend,Shawn,Gray,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Riverbend,Melanie,Hoffman,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Riverbend,Matt,Jeneroux,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Riverbend,Jennifer,Peace,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Strathcona,Kelly,Green,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Strathcona,Wesley,Janke,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Strathcona,Heather,McPherson,New Democratic Party,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Strathcona,Hibo,Mohamed,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Strathcona,Olatunde,Obasan,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton Strathcona,Malcolm,Stinson,Libertarian Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Edmonton West,Adam Wilson,Brown,Liberal Party of Canada,Defeated
